"Guid","CurrencyIsoCode","Product_Utility_Key__c","SBQQ__Active__c","SBQQ__Product__c","SBQQ__UnitCost__c"
001b9e18-e91d-4336-83b4-7e93b0a9ff49,USD,01t1I000004NJh2QAGUSD,true,2e87c186-3013-4965-8cda-598cffb0e84e,344.72719712470440765
0034dc43-536e-4746-807f-7bb1dcb04b8d,AUD,01t3h0000029BK1AAMAUD,true,2b43614f-582a-4dba-96bc-65ac1c906cc6,0.0
00848503-f6ce-4511-bed6-d3a245d89b8a,USD,01t1I000000JUVpQAOUSD,true,0388d276-38b8-4dd5-b683-ba19f4584f14,1550.5810994523268
0091ad64-fbd5-49f4-8516-d5e46ad87401,EUR,01t3h0000029BIHAA2EUR,true,db7fc448-40c3-4228-b20c-31ab2e5c6c2e,7152.845783433698
009ef4ed-f564-48e5-969c-f99234123baa,AUD,01t1I000003ApUxQAKAUD,true,11fc2741-a475-4c7e-a5ad-e642d0acfd1a,873.44934374764027386
00ca5961-39ff-4cff-bd87-ad556c3e7087,EUR,01t3h0000029BJpAAMEUR,true,53951f9a-99af-4345-9453-1845d0b98c75,715.2845783433698
00e11950-4242-4813-aa41-30bd72fde0c8,GBP,01t1I000004MDPpQAOGBP,true,325a1a0a-7b4c-44e8-b0a2-db5c3eb6396b,13954.384630173589248
0145ca13-813f-4db4-85ae-87d6aa03aee9,USD,01t3h0000029BK5AAMUSD,true,ac040496-a333-4983-92a6-1bf45fcbce89,27.105520863538224
016f06ff-12c7-4359-b6b1-c9f099a5123a,USD,"#N/A",true,"#N/A",7.533721944732795072
01884de5-6ea9-4d55-a6e6-4cf3e1e1e4d9,GBP,01t3h0000029BINAA2GBP,true,dd03d4c0-4d58-4a0a-bd06-f8fb5e7b9ef6,1452.8559182856488064
01c18a44-9352-4188-9126-f8823c6fcca3,USD,01t3h0000029BKkAAMUSD,true,f4f195b4-e816-45fa-9497-95f1a81699a3,4517.586810589704
01d49a39-4f25-4f88-9e5a-86323b16fa20,EUR,01t3h0000029BJuAAMEUR,true,4809382c-ac40-4118-9f97-c207570006b5,0.0
01e24bf2-6b92-42b4-9fe2-a09083ba72ab,EUR,01t3h0000029BKBAA2EUR,true,cae82e7b-bc55-4b44-a2cd-58fe9a62c646,175.244721694125601
